"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"168","Washington, DC","207","4300 Ivymount Court, Annandale","1/1/2020 - 3/31/2020, Every day, Daily Average",1365,1085,1715
"168","Washington, DC","208","2800 Cathedral Avenue Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",733,552,972
"168","Washington, DC","209","1200 U Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",835,633,1100
"168","Washington, DC","210","1400 1st Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",984,734,1318
"168","Washington, DC","211","1200 5th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",812,575,1144
"168","Washington, DC","212","800 Howard Road Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",917,634,1326
"168","Washington, DC","213","2000 Savannah Terrace Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1314,922,1872
"168","Washington, DC","214","3200 Highland Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",876,668,1147
"168","Washington, DC","215","3800 Klingle Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",845,636,1121
"168","Washington, DC","216","2600 39th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",914,693,1205
"168","Washington, DC","217","1500 Tobias Drive Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1198,832,1724
"168","Washington, DC","218","1700 Kenyon Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",815,578,1147
"168","Washington, DC","219","Groff Court Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",987,726,1341
"168","Washington, DC","220","1400 Mississippi Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1490,1094,2029
"168","Washington, DC","221","1400 18th Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",834,575,1208
"168","Washington, DC","222","900 26th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",163,63,420
"168","Washington, DC","223","400 3rd Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",682,459,1011
"168","Washington, DC","224","2400 Wagner Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1496,1035,2161
